RANK,NAME,SCORE,MONEY
10,Radeon RX 6950 XT,28630,1250000
11,Radeon RX 7900 GRE,28086,730000
12,GeForce RTX 3080 Ti,27348,741900
13,Radeon RX 6900 XT,26967,909837
14,GeForce RTX 3090,26928,2068530
15,GeForce RTX 4070,26910,822380
16,GeForce RTX 3080 12GB,26758,1212470
18,GeForce RTX 3080,25366,1038900
19,Radeon RX 6800 XT,25193,108200
20,Radeon RX 7800 XT,24699,783050
22,GeForce RTX 3070 Ti,23772,2999990
23,RTX A5000,23078,3540000
24,RTX A6000,22772,7090700
25,RTX 6000 Ada Generation,22718,12209990
26,GeForce RTX 4060 Ti 16GB, 22599,667900
27,GeForce RTX 4060 Ti,22588,529000
28,GeForce RTX 3070,22486,104200
29,Radeon RX 6800,22375,345000
30,NVIDIA A10,22064,286000
31,GeForce RTX 2080 Ti,21862,100600
32,RTX A4500,21619,2229000
35,Radeon RX 6750 XT,21145,972000
256, GeForce GTX 1650 Ti, 7556, 211500
257, Radeon Pro 580X, 7540, 301938
258, Tesla M6, 7509, 221116
259, Radeon RX 6400, 7450, 175900
260, GeForce GTX 980M, 7379, 785134
261, Radeon RX 6500, 7367, 205460
262, FirePro W8100, 7279, 224589
263, Radeon Pro 5300, 7230, 674200
264, Tesla P100-PCIE-16GB, 7225, 648733
320, Radeon Ryzen 7 PRO 6850H, 5750, 941600
321, GeForce GTX 970M, 5715, 117280
324, Radeon Pro WX 5100, 5653, 910000
325, Radeon Ryzen 7 7735H, 5626, 782390
326, Ryzen 9 5900HS with Radeon Graphics, 5612, 653790
